regName,regCode,source,is_chemo,is_immuno,is_targeted,is_endocrine,is_supportive,anticancer,hemonc_modalities,class_eau,class_hemonc_mbc,class_any,accepted_uses,status
nab-Paclitaxel and Toripalimab,135942,hemonc,1,1,0,0,0,1,Chemotherapy; Immunotherapy,other,other,other,Breast cancer; TNBC Breast cancer,carried
nab-Paclitaxel and Trastuzumab,48830,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
nab-Paclitaxel monotherapy,9900,hemonc,1,0,0,0,1,1,Chemotherapy; Supportive therapy,other,other_recommended,other,Breast cancer; Gastric cancer; Melanoma; Non-small cell lung cancer; Ovarian cancer; Pancreatic cancer; TNBC Breast cancer; Urothelial carcinoma,carried
nab-Sirolimus monotherapy,36351,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,PEComa,carried
nab-TPC,144061,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,cisplatin,,carried
Nadofaragene firadenovec monotherapy,111274,hemonc,0,1,0,0,0,1,Immunotherapy,other,other_recommended,other,Bladder cancer,carried
NALIRIFOX,124704,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Pancreatic cancer,carried
Nelarabine monotherapy,37148,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,T-cell acute lymphoblastic leukemia; T-cell acute lymphoblastic leukemia pediatric,carried
"Neratinib and Paclitaxel, then AC",72741,hemonc,1,0,1,0,1,1,Chemotherapy; Supportive therapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer,carried
Neratinib monotherapy,9469,hemonc,0,0,1,0,1,1,Supportive therapy; Targeted therapy,other,other,other,Breast cancer; ERBB2 Breast cancer; Malignant solid neoplasm ERBB2-mutated; Malignant solid neoplasm ERBB3-mutated,carried
Nilotinib monotherapy,4852,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,B-cell acute lymphoblastic leukemia; BCR::ABL1 B-cell acute lymphoblastic leukemia; Chronic myeloid leukemia; Chronic myeloid leukemia pediatric; Hypereosinophilic syndrome; Systemic mastocytosis,carried
Nintedanib and Pemetrexed,48016,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Non-small cell lung cancer nonsquamous,carried
Niraparib monotherapy,32012,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Ovarian cancer,carried
Nirogacestat monotherapy,30827,hemonc,0,0,1,0,0,1,Targeted therapy,other,other,other,Desmoid tumor,carried
Nivolumab and hyaluronidase monotherapy,149599,none,,,,0,,0,,other,other,other,,carried
Nivolumab and Relatlimab,58899,hemonc,0,1,0,0,0,1,Immunotherapy,other,other,other,Melanoma,carried
Nivolumab monotherapy,3192,hemonc,0,1,0,0,0,1,Immunotherapy,other,pdl1_mono,pdl1_mono,Anal cancer; Carcinoma of unknown primary; Cholangiocarcinoma; Classical Hodgkin lymphoma; Clear cell renal cell carcinoma; Colorectal cancer; Esophageal adenocarcinoma; Esophageal cancer; Esophageal squamous cell carcinoma; Gastric cancer; Head and neck cancer; Hepatocellular carcinoma; Malignant pleural mesothelioma; Melanoma; MSI-H Colorectal cancer; Non-small cell lung cancer; Non-small cell lung cancer nonsquamous; Non-small cell lung cancer squamous; Renal cell carcinoma; Small cell lung cancer; Urothelial carcinoma,carried
Non-pegylated liposomal doxorubicin and Bevacizumab,8182,hemonc,1,0,1,0,0,1,Chemotherapy; Targeted therapy,other,other,other,Breast cancer,carried
Non-pegylated liposomal doxorubicin monotherapy,8181,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
nP-EC,120601,hemonc,1,0,0,0,0,1,Chemotherapy,other,other,other,Breast cancer,carried
nPC-ddEC,149622,atc,,,,0,,1,,other,other,other,,carried
nPC-ddEC and Camrelizumab,149623,atc,,,,0,,1,,other,other,other,,carried
